Borough,CEMSPermittable,ClosureType,Dimensions,EditDate,FieldNumber,GISPropNum,Name,Nets/Rims/Goals Removed,OMPPropID,ParkDistrict,PrimarySport,PropertyName,Red Sign Installed,Status,SubPropertyName,SurfaceType,System,Yellow Sign Removed,polygon,Approx Date Closed,Approx Date Reopened,Approx Date Nets/Rims/Goals Added,Nets/Rims/Goals Added
Q,,,Half Court,08/12/2020 03:05:30 PM,,Q467,Basketball-01,true,Q467,Q-14,Basketball,Broad Channel American Park,true,Reopened,,Asphalt,Q467-BASKETBALL-1,,"POLYGON ((-73.82325149765448 40.59703640026772, -73.82323742963553 40.597133675784306, -73.823084567353 40.59712083051398, -73.82309863677332 40.59702355501777, -73.82325149765448 40.59703640026772))",04/10/2020 12:00:00 AM,07/08/2020 12:00:00 AM,07/12/2020 12:00:00 AM,true
Q,true,Blocked with Barricade,Handball,08/12/2020 03:05:30 PM,04,Q001,Horatio Playground-Handball-04,,Q001-04,Q-11,Handball,Alley Pond Park,true,Reopened,Horatio Playground,Asphalt,Q001-04-HANDBALL-2,true,"POLYGON ((-73.75427112294051 40.75864807946606, -73.7544334863397 40.758641730405415, -73.7544394818676 40.75874398960784, -73.75427727941131 40.75875158712525, -73.75427112294051 40.75864807946606))",04/05/2020 07:56:04 PM,07/06/2020 01:00:00 PM,,
Q,true,Temporary Fencing,Handball,08/12/2020 03:05:30 PM,04,Q300,Rachel Carson Plgd-Handball-04,true,Q300-05,Q-07,Handball,Kissena Corridor Park,true,Reopened,Rachel Carson Playground,Asphalt,Q300-05-HANDBALL-4,true,"POLYGON ((-73.82221229283259 40.748703193431915, -73.82229295717899 40.74878494715962, -73.82221737792824 40.74882807742411, -73.82213671243831 40.74874632364215, -73.82221229283259 40.748703193431915))",04/02/2020 06:45:00 PM,07/06/2020 10:00:00 PM,,
Q,true,Fully Locked,Handball,08/12/2020 03:05:30 PM,10,Q102,Juniper Playground-Handball-10,,Q102-02,Q-05,Handball,Juniper Valley Park,true,Reopened,Juniper North Playground Tennis,Asphalt,Q102-02-HANDBALL-9,true,"POLYGON ((-73.87699740270617 40.72103956782825, -73.87702197599494 40.72115911162958, -73.87691022949832 40.721171859609804, -73.87689074397386 40.72105140900778, -73.87699740270617 40.72103956782825))",04/04/2020 04:00:00 AM,07/06/2020 08:00:00 PM,,
R,true,Fully Locked,Full Court,08/12/2020 03:05:30 PM,02,R068,Basketball-02,true,R068,R-01,Basketball,The Big Park,true,Reopened,,Asphalt,R068-BASKETBALL-2,true,"POLYGON ((-74.16473880702493 40.6313295487602, -74.164745129441 40.6311240912436, -74.16492468954041 40.63112666776073, -74.1649196088252 40.63133214421891, -74.16473880702493 40.6313295487602))",03/23/2020 04:00:00 AM,07/06/2020 04:00:00 AM,07/06/2020 04:00:00 AM,true
B,true,Fully Locked,Handball,08/12/2020 03:05:30 PM,10,B057,Rocco Torre-Handball-10,,B057-04,B-18,Handball,Marine Park,,Reopened,Lenape Playground,Asphalt,B057-04-HANDBALL-4,,"POLYGON ((-73.92717330843527 40.60599748855168, -73.92723396229624 40.606052674037926, -73.92712465516621 40.60612245917769, -73.92706400133129 40.60606727453466, -73.92717330843527 40.60599748855168))",04/02/2020 04:00:00 AM,07/06/2020 04:00:00 AM,,
Q,true,Temporary Fencing,Handball,08/12/2020 03:05:30 PM,05,Q300,Captain Mario Fajardo Park-Handball-05,true,Q300-04,Q-07,Handball,Kissena Corridor Park,true,Reopened,Captain Mario Fajardo Park,Asphalt,Q300-04-HANDBALL-2,true,"POLYGON ((-73.81440858019985 40.74359642180164, -73.814368522003 40.743715028996085, -73.81428477619616 40.743698678525774, -73.81424608060539 40.74369112388998, -73.81423937100472 40.7436898136342, -73.81423949637072 40.743689438324225, -73.81427995702064 40.74356882188722, -73.81440941708661 40.74359394224847, -73.81440858019985 40.74359642180164))",04/02/2020 07:00:00 PM,07/06/2020 10:00:00 PM,,
B,true,Blocked with Barricade,Handball,08/12/2020 03:05:30 PM,04,B100,Seth Low Plgd-Handball-04,,B100,B-11,Handball,Seth Low Playground/ Bealin Square,true,Reopened,,Asphalt,B100-01-HANDBALL-6,true,"POLYGON ((-73.98606824254003 40.6075308203956, -73.98608514676717 40.607613106704726, -73.98592681715671 40.607631499492186, -73.9859126238824 40.607548162583456, -73.98606824254003 40.6075308203956))",04/03/2020 04:00:00 AM,07/07/2020 04:00:00 AM,,
B,true,Fully Locked,Handball,08/12/2020 03:05:30 PM,06,B210W,Handball-06,,B210W,B-10,Handball,John J Carty Park,true,UnderConstruction,,Asphalt,B210W-03-HANDBALL-6,true,"POLYGON ((-74.0304738860706 40.61272643859047, -74.03041742360658 40.61284333849279, -74.03032060873666 40.612816266488935, -74.03037707134771 40.612699367534404, -74.0304738860706 40.61272643859047))",04/02/2020 04:00:00 AM,07/06/2020 04:00:00 AM,,
X,true,Temporary Fencing,Handball,08/12/2020 03:05:30 PM,02,X045,St Mary's Playground East-Handball-02,true,X045-01,X-01,Handball,St. Mary's Park,true,Reopened,St Mary's Playground East,Asphalt,X045-01-HANDBALL-3,,"POLYGON ((-73.91032538222053 40.81050765625662, -73.91028322075897 40.810622684601356, -73.91017713894313 40.81059951773277, -73.91021893116634 40.810484215387305, -73.91032538222053 40.81050765625662))",04/08/2020 04:00:15 PM,07/06/2020 05:01:39 PM,,
